IdOeuf,ShellThickness
1,0.4033333333333333
2,0.31
3,0.36
4,0.35
5,0.3733333333333333
6,0.3766666666666666
7,0.3899999999999999
8,0.3666666666666667
9,0.3499999999999999
10,0.31
11,0.3733333333333333
12,0.3833333333333333
13,0.3499999999999999
14,0.29
15,0.3166666666666666
16,0.3566666666666666
17,0.34
18,0.3
19,0.33
20,0.3466666666666667
21,0.3933333333333333
22,0.2966666666666667
23,0.33
24,0.3366666666666666
25,0.3233333333333333
26,0.3566666666666666
27,0.32
28,0.3266666666666666
29,0.28
30,0.3266666666666666
31,0.3066666666666667
32,0.32
33,0.3466666666666667
34,0.3266666666666666
35,0.3266666666666666
36,0.3066666666666666
37,0.2966666666666667
38,0.2933333333333334
39,0.33
40,0.32
41,0.32
