Manche,IdWinner,IdLoser,
1,1,2,
1,4,3,
1,6,5,
1,8,7,
1,9,10,
1,11,12,
1,14,13,
1,16,15,
1,19,18,
1,21,20,
1,23,22,
1,25,24,
1,26,27,
1,29,28,
1,31,30,
1,33,32,
1,34,35,
1,37,36,
1,38,39,
1,41,40,
2,6,1,
2,4,8,
2,9,14,
2,11,16,
2,21,19,
2,23,25,
2,26,29,
2,33,31,
2,34,37,
2,41,38,
3,6,4,
3,11,9,
3,21,23,
3,33,26,
3,41,34,
4,6,11,
4,21,33,
